Business Name,Location,Category,Annual Trade Volume (M USD),Main Trading Partner,Trade Type,Subcategory,Business Size,Established Year,Contact Info,Phone,Preferred Trade Route,Trade Growth Rate (%),Currency,Trade Frequency (per year),Recency of Last Trade (months),Trade Success Rate (%),Partner Rating,Price Fluctuation (%),Region,IndustrySector
International Fruits Agriculture Egypt,"Luxor, Egypt",Agriculture,4.76,Nigeria,Both,Fruits,Small,1984,info@internationalfr.eg,+20298258781,Via Alexandria Port,-10.0,USD,24,0,85.59,4.7,5.76,Upper Egypt,Agriculture - Fruits
Grains Agriculture Group,"Port Said, Egypt",Agriculture,700.0,Japan,Importer,Grains,Large,2008,info@grainsagricultu.eg,+20133689941,Via Port Said Port,10.96,USD,365,5,75.53,3.9,7.34,Mediterranean Coast,Agriculture - Grains
Flowers Agriculture Exports,"Port Tawfik, Egypt",Agriculture,57.04,Malaysia,Both,Flowers,Medium,2002,info@flowersagricult.eg,+20165626005,Via Port Tawfik Port,1.88,USD,189,0,77.81,3.9,7.86,Suez Canal,Agriculture - Flowers
El Fabrics Textiles,"6th of October, Egypt",Textiles,15.62,Argentina,Exporter,Fabrics,Small,2019,info@elfabricstextil.eg,+20244096797,Via Safaga Port,7.55,USD,59,1,72.83,4.0,1.73,Greater Cairo,Textiles - Fabrics
International Souvenirs Tourism Egypt,"Kafr El Sheikh, Egypt",Tourism,82.33,Lebanon,Importer,Souvenirs,Medium,2008,info@internationalso.eg,+20279518637,Via Damietta Port,-9.3,USD,262,5,88.37,4.1,4.85,Nile Delta,Tourism - Souvenirs
Silver Metals Trading Egypt,"Safaga, Egypt",Metals,2.12,Brazil,Both,Silver,Small,2020,info@silvermetalstra.eg,+20386087328,Via Suez Port,2.18,USD,16,2,77.09,3.7,3.31,Red Sea,Metals - Silver
Egypt Silver Metals Company,"Qena, Egypt",Metals,328.74,Kenya,Both,Silver,Large,2012,info@egyptsilvermeta.eg,+20244968694,Via Safaga Port,9.47,USD,365,2,75.74,4.1,13.43,Upper Egypt,Metals - Silver
Delta Office Furniture,"Port Said, Egypt",Furniture,2.44,Spain,Importer,Office,Small,1981,info@deltaofficefurn.eg,+20180759942,Via Port Said Port,-10.0,USD,14,0,63.09,2.6,1.0,Mediterranean Coast,Furniture - Office
Delta Fabrics Textiles,"Zagazig, Egypt",Textiles,11.09,Spain,Exporter,Fabrics,Small,2016,info@deltafabricstex.eg,+20391344276,Via Alexandria Port,9.86,USD,54,6,69.22,2.5,5.24,Nile Delta,Textiles - Fabrics
Suez Canal Aluminum Metals,"Port Tawfik, Egypt",Metals,4.83,Germany,Exporter,Aluminum,Small,1991,info@suezcanalalumin.eg,+20145331464,Via Port Said Port,7.02,USD,26,0,70.62,3.8,1.83,Suez Canal,Metals - Aluminum
Pharaoh Detergents Chemicals,"6th of October, Egypt",Chemicals,13.73,Chile,Importer,Detergents,Medium,2016,info@pharaohdetergen.eg,+20165985862,Via Suez Port,5.24,USD,47,3,75.95,4.0,11.8,Greater Cairo,Chemicals - Detergents
Egypt Grains Agriculture Company,"Luxor, Egypt",Agriculture,12.75,Ghana,Exporter,Grains,Small,1986,info@egyptgrainsagri.eg,+20120709549,Via Alexandria Port,-0.18,USD,48,6,80.22,4.3,10.02,Upper Egypt,Agriculture - Grains
Premium Herbal Pharmaceuticals,"Kafr El Sheikh, Egypt",Pharmaceuticals,57.38,China,Exporter,Herbal,Medium,1999,info@premiumherbalph.eg,+20310893645,Via Suez Port,-0.77,USD,197,2,82.21,4.2,9.31,Nile Delta,Pharmaceuticals - Herbal
Modern Fruits Agriculture,"Safaga, Egypt",Agriculture,592.21,Netherlands,Importer,Fruits,Large,2022,info@modernfruitsagr.eg,+20312183611,Via Alexandria Port,-0.96,USD,365,4,89.45,4.3,14.8,Red Sea,Agriculture - Fruits
Modern Medical Supplies Pharmaceuticals,"Luxor, Egypt",Pharmaceuticals,5.67,South Africa,Importer,Medical Supplies,Small,2013,info@modernmedicalsu.eg,+20330586679,Via Safaga Port,12.91,USD,28,6,75.15,3.9,7.46,Upper Egypt,Pharmaceuticals - Medical Supplies
Cosmetics Chemicals Egypt,"Beni Suef, Egypt",Chemicals,0.68,Kenya,Importer,Cosmetics,Small,1993,info@cosmeticschemic.eg,+20354947015,Via Suez Port,-9.24,USD,10,5,65.83,3.2,13.54,Upper Egypt,Chemicals - Cosmetics
Cairo Wooden Furniture,"Damanhur, Egypt",Furniture,10.63,Qatar,Both,Wooden,Small,1985,info@cairowoodenfurn.eg,+20330412171,Via Suez Port,-8.33,USD,46,5,77.82,4.0,13.88,Nile Delta,Furniture - Wooden
Canned Foods Food Processing Egypt,"Ismailia, Egypt",Food Processing,97.85,Ethiopia,Exporter,Canned Foods,Medium,1993,info@cannedfoodsfood.eg,+20251995656,Via Ismailia Port,-3.93,USD,304,4,79.47,3.6,8.18,Suez Canal,Food Processing - Canned Foods
Premium Communications Electronics,"Dahab, Egypt",Electronics,298.51,India,Both,Communications,Large,2011,info@premiumcommunic.eg,+20180709216,Via Port Said Port,4.38,USD,365,3,86.11,4.2,13.87,Sinai,Electronics - Communications
Alexandria Dairy Food Processing,"New Cairo, Egypt",Food Processing,35.41,Argentina,Both,Dairy,Medium,2016,info@alexandriadairy.eg,+20370366613,Via Alexandria Port,12.94,USD,120,0,98.0,5.0,14.46,Greater Cairo,Food Processing - Dairy
Cement Construction Egypt,"New Cairo, Egypt",Construction,35.96,Germany,Both,Cement,Medium,2018,info@cementconstruct.eg,+20150527695,Via Safaga Port,0.81,USD,122,6,68.63,3.5,13.46,Greater Cairo,Construction - Cement
Egypt Herbal Pharmaceuticals Company,"Qena, Egypt",Pharmaceuticals,233.26,Indonesia,Exporter,Herbal,Large,2005,info@egyptherbalphar.eg,+20115821007,Via Port Said Port,6.02,USD,365,3,74.11,3.9,3.59,Upper Egypt,Pharmaceuticals - Herbal
Alexandria Plastics Chemicals,"Kafr El Sheikh, Egypt",Chemicals,11.66,Tanzania,Exporter,Plastics,Small,2019,info@alexandriaplast.eg,+20134364730,Via Port Said Port,-5.63,USD,58,1,72.67,4.1,14.35,Nile Delta,Chemicals - Plastics
Tanta Medical Supplies Pharmaceuticals,"Tanta, Egypt",Pharmaceuticals,9.32,United States,Exporter,Medical Supplies,Small,1997,info@tantamedicalsup.eg,+20371679143,Via Alexandria Port,-2.41,USD,36,6,69.95,3.2,4.86,Nile Delta,Pharmaceuticals - Medical Supplies
Cement Construction House,"Damietta, Egypt",Construction,136.38,India,Importer,Cement,Large,1990,info@cementconstruct.eg,+20331376115,Via Damietta Port,-9.0,USD,365,0,98.0,4.8,5.46,Mediterranean Coast,Construction - Cement
Herbal Pharmaceuticals House,"Qena, Egypt",Pharmaceuticals,6.63,Lebanon,Both,Herbal,Small,1982,info@herbalpharmaceu.eg,+20190364518,Via Suez Port,-5.21,USD,34,2,82.46,4.2,9.63,Upper Egypt,Pharmaceuticals - Herbal
El Resorts Tourism,"Ismailia, Egypt",Tourism,28.18,Oman,Importer,Resorts,Medium,1996,info@elresortstouris.eg,+20226559313,Via Ismailia Port,3.77,USD,95,5,82.96,4.1,7.97,Suez Canal,Tourism - Resorts
Silver Metals Group,"Suez, Egypt",Metals,54.84,Spain,Exporter,Silver,Medium,1987,info@silvermetalsgro.eg,+20260904042,Via Suez Port,-10.0,USD,176,5,95.73,4.9,9.97,Suez Canal,Metals - Silver
Outdoor Furniture Industries,"Ismailia, Egypt",Furniture,15.71,Argentina,Exporter,Outdoor,Small,1992,info@outdoorfurnitur.eg,+20396179522,Via Ismailia Port,8.3,USD,67,6,72.37,3.9,7.91,Suez Canal,Furniture - Outdoor
Medicine Pharmaceuticals Egypt,"Sharm El Sheikh, Egypt",Pharmaceuticals,11.8,Ethiopia,Exporter,Medicine,Medium,1993,info@medicinepharmac.eg,+20115766946,Via Alexandria Port,4.76,USD,50,6,90.52,4.7,10.76,Sinai,Pharmaceuticals - Medicine
Premium Garments Textiles,"Fayoum, Egypt",Textiles,2.44,Tunisia,Importer,Garments,Small,2009,info@premiumgarments.eg,+20231074032,Via Alexandria Port,-2.18,USD,31,2,68.62,3.7,14.5,Upper Egypt,Textiles - Garments
Communications Electronics Egypt,"Alexandria, Egypt",Electronics,95.82,Mexico,Exporter,Communications,Medium,2016,info@communicationse.eg,+20292773410,Via Alexandria Port,-10.0,USD,304,3,89.33,4.4,5.52,Mediterranean Coast,Electronics - Communications
Cosmetics Chemicals Trading Egypt,"Ismailia, Egypt",Chemicals,63.24,Kuwait,Importer,Cosmetics,Medium,1999,info@cosmeticschemic.eg,+20118959517,Via Ismailia Port,-8.79,USD,200,0,76.43,4.0,3.45,Suez Canal,Chemicals - Cosmetics
International Detergents Chemicals Egypt,"Damanhur, Egypt",Chemicals,12.66,Jordan,Exporter,Detergents,Small,1984,info@internationalde.eg,+20331532261,Via Alexandria Port,-10.0,USD,53,4,89.34,4.2,8.54,Nile Delta,Chemicals - Detergents
Modern Detergents Chemicals,"Tanta, Egypt",Chemicals,246.96,Oman,Both,Detergents,Large,1998,info@moderndetergent.eg,+20299797606,Via Port Said Port,-4.68,USD,365,1,57.73,2.6,1.78,Nile Delta,Chemicals - Detergents
Golden Vegetables Agriculture,"Damanhur, Egypt",Agriculture,377.44,Nigeria,Importer,Vegetables,Large,1990,info@goldenvegetable.eg,+20342825239,Via Damietta Port,0.49,USD,365,3,88.86,4.7,1.01,Nile Delta,Agriculture - Vegetables
Pottery Handicrafts Exports,"Mansoura, Egypt",Handicrafts,3.99,Lebanon,Importer,Pottery,Small,2020,info@potteryhandicra.eg,+20366511976,Via Safaga Port,-10.0,USD,27,3,79.78,4.0,10.78,Nile Delta,Handicrafts - Pottery
Golden Herbal Pharmaceuticals,"Damietta, Egypt",Pharmaceuticals,14.32,Kenya,Exporter,Herbal,Small,2003,info@goldenherbalpha.eg,+20261388369,Via Damietta Port,11.62,USD,61,0,80.78,4.5,13.03,Mediterranean Coast,Pharmaceuticals - Herbal
Egypt Medicine Pharmaceuticals Company,"Kafr El Sheikh, Egypt",Pharmaceuticals,292.77,Ethiopia,Both,Medicine,Large,2002,info@egyptmedicineph.eg,+20171817618,Via Safaga Port,-6.98,USD,365,5,62.99,3.1,6.44,Nile Delta,Pharmaceuticals - Medicine
Greater Cairo Dates Agriculture,"6th of October, Egypt",Agriculture,20.19,Mexico,Importer,Dates,Small,1995,info@greatercairodat.eg,+20233655133,Via Damietta Port,-10.0,USD,78,1,82.29,4.1,6.21,Greater Cairo,Agriculture - Dates
Greater Cairo Spices Food Processing,"6th of October, Egypt",Food Processing,1.23,Indonesia,Importer,Spices,Small,1994,info@greatercairospi.eg,+20147827655,Via Port Said Port,-9.32,USD,25,5,79.58,3.6,2.12,Greater Cairo,Food Processing - Spices
Delta Computers Electronics,"6th of October, Egypt",Electronics,67.54,Kuwait,Exporter,Computers,Medium,2018,info@deltacomputerse.eg,+20399281602,Via Port Said Port,4.41,USD,217,2,64.35,3.1,13.29,Greater Cairo,Electronics - Computers
Canned Foods Food Processing of Egypt,"Giza, Egypt",Food Processing,19.06,Bahrain,Exporter,Canned Foods,Medium,1985,info@cannedfoodsfood.eg,+20220525741,Via Port Said Port,-8.9,USD,68,0,69.01,3.8,6.56,Greater Cairo,Food Processing - Canned Foods
Ancient Detergents Chemicals,"Suez, Egypt",Chemicals,47.07,India,Both,Detergents,Medium,1998,info@ancientdetergen.eg,+20312259615,Via Damietta Port,-2.95,USD,166,4,87.23,4.0,1.9,Suez Canal,Chemicals - Detergents
Medicine Pharmaceuticals Trading Egypt,"Port Said, Egypt",Pharmaceuticals,18.59,Italy,Importer,Medicine,Small,1999,info@medicinepharmac.eg,+20323697622,Via Port Said Port,2.99,USD,72,2,83.19,4.2,4.64,Mediterranean Coast,Pharmaceuticals - Medicine
Premium Bricks Construction,"Sohag, Egypt",Construction,14.02,Nigeria,Importer,Bricks,Medium,1985,info@premiumbricksco.eg,+20294934443,Via Damietta Port,-9.41,USD,58,4,71.26,3.6,3.71,Upper Egypt,Construction - Bricks
Ancient Copper Metals,"Luxor, Egypt",Metals,8.87,Singapore,Exporter,Copper,Small,2011,info@ancientcopperme.eg,+20289971440,Via Alexandria Port,-0.7,USD,44,4,67.75,3.5,9.22,Upper Egypt,Metals - Copper
Upper Egypt Fabrics Textiles,"Assiut, Egypt",Textiles,13.79,Bahrain,Both,Fabrics,Small,2003,info@upperegyptfabri.eg,+20135818860,Via Suez Port,-6.26,USD,42,3,78.46,3.6,4.7,Upper Egypt,Textiles - Fabrics
Fruits Agriculture Trading Egypt,"Hurghada, Egypt",Agriculture,15.47,Saudi Arabia,Exporter,Fruits,Small,2009,info@fruitsagricultu.eg,+20328896198,Via Suez Port,-10.0,USD,55,5,64.61,3.8,12.45,Red Sea,Agriculture - Fruits
Herbal Pharmaceuticals Egypt,"Aswan, Egypt",Pharmaceuticals,13.2,Saudi Arabia,Importer,Herbal,Small,1995,info@herbalpharmaceu.eg,+20137501992,Via Alexandria Port,-5.4,USD,56,4,70.65,4.2,3.15,Upper Egypt,Pharmaceuticals - Herbal
Souvenirs Tourism Group,"Kafr El Sheikh, Egypt",Tourism,1.89,Greece,Exporter,Souvenirs,Small,2020,info@souvenirstouris.eg,+20273609054,Via Damietta Port,10.09,USD,18,2,78.75,3.9,6.62,Nile Delta,Tourism - Souvenirs
United Dates Agriculture,"Luxor, Egypt",Agriculture,71.45,Kuwait,Both,Dates,Medium,1987,info@uniteddatesagri.eg,+20252845978,Via Port Said Port,-3.1,USD,231,0,83.24,4.5,5.32,Upper Egypt,Agriculture - Dates
Glass Construction Exports,"Damanhur, Egypt",Construction,429.23,Morocco,Both,Glass,Large,2019,info@glassconstructi.eg,+20135981312,Via Alexandria Port,2.37,USD,365,1,86.0,4.2,13.73,Nile Delta,Construction - Glass
Premium Canned Foods Food Processing,"6th of October, Egypt",Food Processing,27.62,China,Both,Canned Foods,Medium,2018,info@premiumcannedfo.eg,+20250121402,Via Damietta Port,14.92,USD,84,1,72.08,3.6,12.91,Greater Cairo,Food Processing - Canned Foods
Glass Construction Trading Egypt,"Suez, Egypt",Construction,15.27,Brazil,Exporter,Glass,Small,1995,info@glassconstructi.eg,+20273265108,Via Suez Port,-4.6,USD,67,3,74.2,3.6,14.66,Suez Canal,Construction - Glass
Golden Bricks Construction,"Fayoum, Egypt",Construction,289.87,Ethiopia,Both,Bricks,Large,1984,info@goldenbrickscon.eg,+20129858548,Via Alexandria Port,-7.01,USD,365,1,87.23,4.3,12.69,Upper Egypt,Construction - Bricks
Premium Office Furniture,"Ismailia, Egypt",Furniture,78.33,Greece,Importer,Office,Medium,2006,info@premiumofficefu.eg,+20375487961,Via Ismailia Port,12.13,USD,238,4,79.31,3.5,2.86,Suez Canal,Furniture - Office
Cairo Aluminum Metals,"Beni Suef, Egypt",Metals,401.48,Qatar,Exporter,Aluminum,Large,1998,info@cairoaluminumme.eg,+20291546716,Via Safaga Port,-10.0,USD,365,2,97.19,4.7,3.89,Upper Egypt,Metals - Aluminum
Souvenirs Tourism Trading Egypt,"New Cairo, Egypt",Tourism,34.27,Saudi Arabia,Importer,Souvenirs,Medium,2018,info@souvenirstouris.eg,+20133034643,Via Alexandria Port,4.1,USD,111,4,55.24,3.0,14.88,Greater Cairo,Tourism - Souvenirs
Aluminum Metals Group,"Sharm El Sheikh, Egypt",Metals,288.31,Malaysia,Both,Aluminum,Large,2004,info@aluminummetalsg.eg,+20294142832,Via Suez Port,7.81,USD,365,4,88.68,4.2,6.64,Sinai,Metals - Aluminum
Cairo Components Electronics,"Kafr El Sheikh, Egypt",Electronics,5.5,Nigeria,Importer,Components,Small,2006,info@cairocomponents.eg,+20396242935,Via Safaga Port,1.41,USD,42,5,64.59,2.7,6.16,Nile Delta,Electronics - Components
Beverages Food Processing Egypt,"Minya, Egypt",Food Processing,47.85,Tunisia,Importer,Beverages,Medium,1995,info@beveragesfoodpr.eg,+20298162245,Via Safaga Port,-10.0,USD,162,4,82.34,4.6,13.61,Upper Egypt,Food Processing - Beverages
